pair,method,tx,threshold_quantile,threshold,auc,accuracy,precision,recall,f1,tp,tn,fp,fn
iq:cepstral,relation_pca_residual,Tx7,0.95,0.6968600475599666,0.46901,0.45555555555555555,0.5625,0.09,0.15517241379310345,45,365,35,455
iq:cepstral,relation_pca_residual,Tx8,0.95,0.6968600475599666,0.47853,0.4211111111111111,0.2857142857142857,0.028,0.05100182149362477,14,365,35,486
iq:cepstral,relation_pca_residual,Tx5,0.97,0.9350360409002083,0.46084,0.44555555555555554,0.5106382978723404,0.048,0.08775137111517367,24,377,23,476
iq:cepstral,relation_pca_residual,Tx6,0.97,0.9350360409002083,0.4863,0.4488888888888889,0.54,0.054,0.09818181818181818,27,377,23,473
iq:cepstral,relation_pca_residual,Tx7,0.97,0.9350360409002083,0.46901,0.45,0.5490196078431373,0.056,0.10163339382940108,28,377,23,472
iq:cepstral,relation_pca_residual,Tx8,0.97,0.9350360409002083,0.47853,0.43,0.30303030303030304,0.02,0.037523452157598496,10,377,23,490
iq:cepstral,relation_shrinkage_mahalanobis,Tx5,0.9,66.89490761068028,0.466485,0.4488888888888889,0.5185185185185185,0.112,0.18421052631578946,56,348,52,444
iq:cepstral,relation_shrinkage_mahalanobis,Tx6,0.9,66.89490761068028,0.48513,0.4588888888888889,0.5555555555555556,0.13,0.2106969205834684,65,348,52,435
iq:cepstral,relation_shrinkage_mahalanobis,Tx7,0.9,66.89490761068028,0.46836,0.46,0.559322033898305,0.132,0.21359223300970875,66,348,52,434
iq:cepstral,relation_shrinkage_mahalanobis,Tx8,0.9,66.89490761068028,0.475075,0.42,0.36585365853658536,0.06,0.10309278350515463,30,348,52,470
iq:cepstral,relation_shrinkage_mahalanobis,Tx5,0.95,108.9226418799576,0.466485,0.45222222222222225,0.5636363636363636,0.062,0.11171171171171172,31,376,24,469
iq:cepstral,relation_shrinkage_mahalanobis,Tx6,0.95,108.9226418799576,0.48513,0.45666666666666667,0.5932203389830508,0.07,0.12522361359570663,35,376,24,465
iq:cepstral,relation_shrinkage_mahalanobis,Tx7,0.95,108.9226418799576,0.46836,0.4577777777777778,0.6,0.072,0.12857142857142856,36,376,24,464
iq:cepstral,relation_shrinkage_mahalanobis,Tx8,0.95,108.9226418799576,0.475075,0.43,0.3142857142857143,0.022,0.0411214953271028,11,376,24,489
iq:cepstral,relation_shrinkage_mahalanobis,Tx5,0.97,145.92810414039465,0.466485,0.45,0.5675675675675675,0.042,0.0782122905027933,21,384,16,479
iq:cepstral,relation_shrinkage_mahalanobis,Tx6,0.97,145.92810414039465,0.48513,0.4488888888888889,0.5555555555555556,0.04,0.07462686567164178,20,384,16,480
iq:cepstral,relation_shrinkage_mahalanobis,Tx7,0.97,145.92810414039465,0.46836,0.4533333333333333,0.6,0.048,0.08888888888888888,24,384,16,476
iq:cepstral,relation_shrinkage_mahalanobis,Tx8,0.97,145.92810414039465,0.475075,0.43555555555555553,0.3333333333333333,0.016,0.030534351145038167,8,384,16,492
iq:cyclo,relation_zdist,Tx5,0.9,1.884456880611875,0.481155,0.4633333333333333,0.5752212389380531,0.13,0.21207177814029365,65,352,48,435
iq:cyclo,relation_zdist,Tx6,0.9,1.884456880611875,0.462685,0.45444444444444443,0.5428571428571428,0.114,0.1884297520661157,57,352,48,443
iq:cyclo,relation_zdist,Tx7,0.9,1.884456880611875,0.46305,0.4633333333333333,0.5752212389380531,0.13,0.21207177814029365,65,352,48,435
