pair,method,relation_dim,threshold_quantile,threshold,train_score_mean,known_score_mean,unknown_score_mean,known_unknown_mean_gap,known_score_p95,unknown_score_p50,auc,accuracy,precision,recall,f1,tp,tn,fp,fn
iq:stft,relation_pca_residual,33,0.97,1.0119307173435763,0.2688825065148554,0.39440843740467,0.3237604488756278,-0.0706479885290422,1.045650359734529,0.16499139075381425,0.4824575,0.18541666666666667,0.7472527472527473,0.034,0.06504065040650407,68,377,23,1932
iq:stft,relation_shrinkage_mahalanobis,33,0.9,61.99539276017225,31.49152763535981,38.75839261763611,32.760655236573285,-5.9977373810628265,121.14308289762099,16.241707520479515,0.47936125,0.21625,0.7819905213270142,0.0825,0.1492537313432836,165,354,46,1835
iq:stft,relation_shrinkage_mahalanobis,33,0.95,99.32259412144003,31.49152763535981,38.75839261763611,32.760655236573285,-5.9977373810628265,121.14308289762099,16.241707520479515,0.47936125,0.19375,0.782608695652174,0.045,0.08510638297872339,90,375,25,1910
iq:stft,relation_shrinkage_mahalanobis,33,0.97,121.97571586828998,31.49152763535981,38.75839261763611,32.760655236573285,-5.9977373810628265,121.14308289762099,16.241707520479515,0.47936125,0.18875,0.7912087912087912,0.036,0.06886657101865136,72,381,19,1928
iq:cepstral,relation_zdist,33,0.9,2.1254247967228626,1.0,1.2413557850032086,1.010629477203574,-0.23072630779963466,3.4995647912846857,0.31273027134073544,0.4692325,0.22833333333333333,0.8109243697478992,0.0965,0.17247542448614836,193,355,45,1807
iq:cepstral,relation_zdist,33,0.95,3.563103865117415,1.0,1.2413557850032086,1.010629477203574,-0.23072630779963466,3.4995647912846857,0.31273027134073544,0.4692325,0.19916666666666666,0.8305084745762712,0.049,0.09254013220018885,98,380,20,1902
iq:cepstral,relation_zdist,33,0.97,4.522341100017556,1.0,1.2413557850032086,1.010629477203574,-0.23072630779963466,3.4995647912846857,0.31273027134073544,0.4692325,0.19166666666666668,0.8658536585365854,0.0355,0.06820365033621517,71,389,11,1929
iq:cepstral,relation_pca_residual,33,0.9,0.4265153371270012,0.20043309251816083,0.4811597493475983,0.29414212449837296,-0.18701762484922535,1.0669022613042003,0.09588976100164892,0.47367,0.2375,0.7891156462585034,0.116,0.20226678291194422,232,338,62,1768
iq:cepstral,relation_pca_residual,33,0.95,0.6968600475599666,0.20043309251816083,0.4811597493475983,0.29414212449837296,-0.18701762484922535,1.0669022613042003,0.09588976100164892,0.47367,0.20541666666666666,0.7852760736196319,0.064,0.11835413777161351,128,365,35,1872
iq:cepstral,relation_pca_residual,33,0.97,0.9350360409002083,0.20043309251816083,0.4811597493475983,0.29414212449837296,-0.18701762484922535,1.0669022613042003,0.09588976100164892,0.47367,0.19416666666666665,0.7946428571428571,0.0445,0.08428030303030302,89,377,23,1911
iq:cepstral,relation_shrinkage_mahalanobis,33,0.9,66.89490761068028,30.275924250769695,50.85929190904784,36.83467083654819,-14.024621072499649,113.68911326295148,11.550007910697062,0.4737625,0.23541666666666666,0.8066914498141264,0.1085,0.19127368884971355,217,348,52,1783
iq:cepstral,relation_shrinkage_mahalanobis,33,0.95,108.9226418799576,30.275924250769695,50.85929190904784,36.83467083654819,-14.024621072499649,113.68911326295148,11.550007910697062,0.4737625,0.20375,0.8248175182481752,0.0565,0.10575573233504915,113,376,24,1887
iq:cepstral,relation_shrinkage_mahalanobis,33,0.97,145.92810414039465,30.275924250769695,50.85929190904784,36.83467083654819,-14.024621072499649,113.68911326295148,11.550007910697062,0.4737625,0.19041666666666668,0.8202247191011236,0.0365,0.06988989947343227,73,384,16,1927
iq:cyclo,relation_zdist,33,0.9,1.884456880611875,1.0000000000000002,1.3631487337443453,1.1710985343366118,-0.1920501994077335,3.8832592950211744,0.3070869392453165,0.47402125,0.24125,0.8254545454545454,0.1135,0.19956043956043956,227,352,48,1773
iq:cyclo,relation_zdist,33,0.95,3.5616237402335047,1.0000000000000002,1.3631487337443453,1.1710985343366118,-0.1920501994077335,3.8832592950211744,0.3070869392453165,0.47402125,0.2,0.8125,0.052,0.09774436090225562,104,376,24,1896
iq:cyclo,relation_zdist,33,0.97,5.54886668819366,1.0000000000000002,1.3631487337443453,1.1710985343366118,-0.1920501994077335,3.8832592950211744,0.3070869392453165,0.47402125,0.18166666666666667,0.7571428571428571,0.0265,0.05120772946859903,53,383,17,1947
iq:cyclo,relation_pca_residual,33,0.9,0.3530742179908471,0.17023886184161674,0.3294219918449653,0.2905394328447379,-0.03888255900022741,0.8082002862607042,0.08626747389494208,0.50044375,0.2520833333333333,0.8338762214983714,0.128,0.22193324664065886,256,349,51,1744
iq:cyclo,relation_pca_residual,33,0.95,0.6212120323766998,0.17023886184161674,0.3294219918449653,0.2905394328447379,-0.03888255900022741,0.8082002862607042,0.08626747389494208,0.50044375,0.20833333333333334,0.8164556962025317,0.0645,0.11955514365152921,129,371,29,1871
iq:cyclo,relation_pca_residual,33,0.97,0.8118056164322832,0.17023886184161674,0.3294219918449653,0.2905394328447379,-0.03888255900022741,0.8082002862607042,0.08626747389494208,0.50044375,0.19458333333333333,0.8130841121495327,0.0435,0.08258186995728524,87,380,20,1913
