tx,rep_a,rep_b,linear_cka,cca_top1,cca_mean3,cca_mean5,split_cca_top1,split_cca_mean3,split_cca_mean5,cca_components_a,cca_components_b
Tx1,cepstral,cyclo,0.6813248347783981,0.9882146516018052,0.9255196260859302,0.7744083858722451,0.9838731831212463,0.8863733617294844,0.6757390848985855,16,16
Tx1,cepstral,hos,0.4311776165222041,0.9796645324839798,0.803080394263506,0.6544382884845359,0.9472722920168688,0.5941196016242064,0.39741320880775605,16,16
Tx1,cepstral,bispectrum,0.606085913116029,0.9810030914642877,0.8587449961776313,0.719100094848366,0.970123487612065,0.8382687990692399,0.6319806157891572,16,16
Tx1,cyclo,hos,0.6721141713274051,0.9938570270079045,0.9796069620689156,0.9191594111150202,0.9856734903334161,0.9551855628027065,0.7907595365469839,16,16
Tx1,cyclo,bispectrum,0.4108658074890311,0.9638248306285174,0.7689208556450824,0.6033854556234806,0.9492586770355267,0.6654057341734646,0.4645727677191368,16,16
Tx1,hos,bispectrum,0.2943364659233473,0.9595651924953011,0.7920905811069213,0.5951819124112417,0.9542687982827571,0.7025092706620159,0.449062531507879,16,16
Tx2,iq,ap,0.6178993518545184,1.0,0.9994565577772606,0.9880415529883477,0.9996215850288263,0.995718028963359,0.9517169227790866,16,16
Tx2,iq,fft,0.3653386810280504,0.9942091559254529,0.9763480588176651,0.8347452362099904,0.9610355028595758,0.867152276019811,0.6560401707012244,16,16
Tx2,iq,stft,0.2745247468823074,0.9874309080723741,0.8444233267984259,0.6919466701640247,0.9766775918074967,0.7480228672916884,0.553489533286594,16,16
Tx2,iq,cepstral,0.3121202287612362,0.9892017602660521,0.936012597492487,0.7689838371780333,0.9798978395467592,0.9145986296860956,0.6904860749913884,16,16
Tx2,iq,cyclo,0.2708202366960998,0.9930901159678047,0.9290906079382667,0.8488004652098178,0.9910881971317016,0.9107498367880811,0.7115786659589067,16,16
Tx2,iq,hos,0.2949349248119947,1.0,0.9919351211583777,0.9846023407127438,0.9728487858339294,0.9678468258739015,0.9300288215724148,16,16
Tx2,iq,bispectrum,0.24213545512004436,0.9660953906783116,0.766369167351847,0.59269013746274,0.959200898692088,0.6325780660614393,0.4374987496785538,16,16
Tx2,ap,fft,0.6396149211653354,0.9994928137543064,0.9797642434097241,0.9479644238773085,0.9939329306642466,0.9596943722113336,0.9238159438975249,16,16
Tx2,ap,stft,0.6182784221976513,0.9946432774883959,0.9613593360163057,0.898222518773985,0.9889325846213548,0.9353497008291356,0.855059116323579,16,16
