representation,method,threshold_quantile,threshold,train_score_mean,known_score_mean,unknown_score_mean,known_unknown_mean_gap,known_score_p95,unknown_score_p50,auc,accuracy,precision,recall,f1,tp,tn,fp,fn
hos,shrinkage_mahalanobis,0.95,105.51236947610079,40.41601167285456,72.26445196913161,59.120077205645984,-13.14437476348563,136.36212268148495,22.01142159735099,0.5034725,0.19958333333333333,0.7762237762237763,0.0555,0.10359309379374708,111,368,32,1889
hos,shrinkage_mahalanobis,0.97,147.697641100332,40.41601167285456,72.26445196913161,59.120077205645984,-13.14437476348563,136.36212268148495,22.01142159735099,0.5034725,0.18791666666666668,0.7865168539325843,0.035,0.06701771182383916,70,381,19,1930
bispectrum,zdist,0.9,1.8687000169482286,1.0000000000000002,0.9840665709004983,1.0387196169716253,0.054653046071126976,2.8415916519688813,0.7332585822564175,0.52569625,0.24625,0.8327526132404182,0.1195,0.2090074333187582,239,352,48,1761
bispectrum,zdist,0.95,2.479539120120218,1.0000000000000002,0.9840665709004983,1.0387196169716253,0.054653046071126976,2.8415916519688813,0.7332585822564175,0.52569625,0.205,0.815068493150685,0.0595,0.11090400745573158,119,373,27,1881
bispectrum,zdist,0.97,2.9288096341478314,1.0000000000000002,0.9840665709004983,1.0387196169716253,0.054653046071126976,2.8415916519688813,0.7332585822564175,0.52569625,0.1925,0.8229166666666666,0.0395,0.07538167938931298,79,383,17,1921
bispectrum,pca_residual,0.9,0.25684710812050676,0.18775700315952037,0.1926784408415393,0.19367500245425617,0.0009965616127168841,0.286598659392567,0.18545018508996208,0.50499375,0.24958333333333332,0.8466898954703833,0.1215,0.21250546567555748,243,356,44,1757
bispectrum,pca_residual,0.95,0.27957529271548703,0.18775700315952037,0.1926784408415393,0.19367500245425617,0.0009965616127168841,0.286598659392567,0.18545018508996208,0.50499375,0.21875,0.8415300546448088,0.077,0.14109024278515805,154,371,29,1846
bispectrum,pca_residual,0.97,0.2986518549099864,0.18775700315952037,0.1926784408415393,0.19367500245425617,0.0009965616127168841,0.286598659392567,0.18545018508996208,0.50499375,0.2025,0.8706896551724138,0.0505,0.09546313799621929,101,385,15,1899
bispectrum,shrinkage_mahalanobis,0.9,148.93598401321242,109.94621384497427,117.56036115611688,119.64189384868276,2.0815326925658724,182.5548622648297,112.44332646782641,0.5138,0.2941666666666667,0.84,0.189,0.30857142857142855,378,328,72,1622
bispectrum,shrinkage_mahalanobis,0.95,165.1851294492482,109.94621384497427,117.56036115611688,119.64189384868276,2.0815326925658724,182.5548622648297,112.44332646782641,0.5138,0.24416666666666667,0.8549618320610687,0.112,0.19805481874447392,224,362,38,1776
bispectrum,shrinkage_mahalanobis,0.97,174.37246045455208,109.94621384497427,117.56036115611688,119.64189384868276,2.0815326925658724,182.5548622648297,112.44332646782641,0.5138,0.22291666666666668,0.8461538461538461,0.0825,0.15034168564920272,165,370,30,1835
