representation,method,tx,threshold_quantile,threshold,auc,accuracy,precision,recall,f1,tp,tn,fp,fn
fft,zdist,Tx8,0.95,2.672558117286347,0.59608,0.4666666666666667,0.6515151515151515,0.086,0.1519434628975265,43,377,23,457
fft,zdist,Tx5,0.97,3.295592376833843,0.550305,0.43666666666666665,0.37037037037037035,0.02,0.03795066413662239,10,383,17,490
fft,zdist,Tx6,0.97,3.295592376833843,0.58329,0.4488888888888889,0.5526315789473685,0.042,0.07806691449814127,21,383,17,479
fft,zdist,Tx7,0.97,3.295592376833843,0.566545,0.44,0.43333333333333335,0.026,0.0490566037735849,13,383,17,487
fft,zdist,Tx8,0.97,3.295592376833843,0.59608,0.4533333333333333,0.5952380952380952,0.05,0.09225092250922509,25,383,17,475
fft,pca_residual,Tx5,0.9,0.022759275451254404,0.475435,0.44555555555555554,0.5053763440860215,0.094,0.15851602023608768,47,354,46,453
fft,pca_residual,Tx6,0.9,0.022759275451254404,0.530895,0.46111111111111114,0.5700934579439252,0.122,0.20098846787479405,61,354,46,439
fft,pca_residual,Tx7,0.9,0.022759275451254404,0.495095,0.44222222222222224,0.4888888888888889,0.088,0.14915254237288134,44,354,46,456
fft,pca_residual,Tx8,0.9,0.022759275451254404,0.60719,0.5111111111111111,0.6973684210526315,0.212,0.32515337423312884,106,354,46,394
fft,pca_residual,Tx5,0.95,0.030290249799110793,0.475435,0.4488888888888889,0.5434782608695652,0.05,0.09157509157509157,25,379,21,475
fft,pca_residual,Tx6,0.95,0.030290249799110793,0.530895,0.4533333333333333,0.58,0.058,0.10545454545454544,29,379,21,471
fft,pca_residual,Tx7,0.95,0.030290249799110793,0.495095,0.4477777777777778,0.5333333333333333,0.048,0.08807339449541285,24,379,21,476
fft,pca_residual,Tx8,0.95,0.030290249799110793,0.60719,0.5011111111111111,0.7741935483870968,0.144,0.24283305227655985,72,379,21,428
fft,pca_residual,Tx5,0.97,0.034613460980491874,0.475435,0.44333333333333336,0.48484848484848486,0.032,0.0600375234521576,16,383,17,484
fft,pca_residual,Tx6,0.97,0.034613460980491874,0.530895,0.4444444444444444,0.5,0.034,0.06367041198501873,17,383,17,483
fft,pca_residual,Tx7,0.97,0.034613460980491874,0.495095,0.4444444444444444,0.5,0.034,0.06367041198501873,17,383,17,483
fft,pca_residual,Tx8,0.97,0.034613460980491874,0.60719,0.49666666666666665,0.7901234567901234,0.128,0.22030981067125646,64,383,17,436
fft,shrinkage_mahalanobis,Tx5,0.9,53.289187382521774,0.47826,0.4444444444444444,0.5,0.094,0.15824915824915825,47,353,47,453
fft,shrinkage_mahalanobis,Tx6,0.9,53.289187382521774,0.525,0.4666666666666667,0.5877192982456141,0.134,0.21824104234527691,67,353,47,433
fft,shrinkage_mahalanobis,Tx7,0.9,53.289187382521774,0.498925,0.4488888888888889,0.5204081632653061,0.102,0.1705685618729097,51,353,47,449
fft,shrinkage_mahalanobis,Tx8,0.9,53.289187382521774,0.5931,0.5,0.6736111111111112,0.194,0.3012422360248448,97,353,47,403
fft,shrinkage_mahalanobis,Tx5,0.95,67.36951890834402,0.47826,0.44333333333333336,0.4915254237288136,0.058,0.1037567084078712,29,370,30,471
fft,shrinkage_mahalanobis,Tx6,0.95,67.36951890834402,0.525,0.44,0.4642857142857143,0.052,0.0935251798561151,26,370,30,474
fft,shrinkage_mahalanobis,Tx7,0.95,67.36951890834402,0.498925,0.4488888888888889,0.53125,0.068,0.12056737588652483,34,370,30,466
fft,shrinkage_mahalanobis,Tx8,0.95,67.36951890834402,0.5931,0.4955555555555556,0.7169811320754716,0.152,0.2508250825082508,76,370,30,424
fft,shrinkage_mahalanobis,Tx5,0.97,82.08790720589877,0.47826,0.45,0.5862068965517241,0.034,0.06427221172022685,17,388,12,483
fft,shrinkage_mahalanobis,Tx6,0.97,82.08790720589877,0.525,0.44333333333333336,0.4782608695652174,0.022,0.04206500956022944,11,388,12,489
fft,shrinkage_mahalanobis,Tx7,0.97,82.08790720589877,0.498925,0.45222222222222225,0.6129032258064516,0.038,0.07156308851224105,19,388,12,481
fft,shrinkage_mahalanobis,Tx8,0.97,82.08790720589877,0.5931,0.48444444444444446,0.8,0.096,0.17142857142857143,48,388,12,452
stft,zdist,Tx5,0.9,1.7600977619229228,0.484115,0.44,0.4791666666666667,0.092,0.15436241610738255,46,350,50,454
stft,zdist,Tx6,0.9,1.7600977619229228,0.4986,0.46111111111111114,0.5652173913043478,0.13,0.21138211382113822,65,350,50,435
stft,zdist,Tx7,0.9,1.7600977619229228,0.46174,0.4411111111111111,0.4845360824742268,0.094,0.1574539363484087,47,350,50,453
stft,zdist,Tx8,0.9,1.7600977619229228,0.491365,0.43555555555555553,0.45652173913043476,0.084,0.14189189189189189,42,350,50,458
stft,zdist,Tx5,0.95,2.255757340590132,0.484115,0.4388888888888889,0.4528301886792453,0.048,0.0867992766726944,24,371,29,476
stft,zdist,Tx6,0.95,2.255757340590132,0.4986,0.43555555555555553,0.42,0.042,0.07636363636363637,21,371,29,479
stft,zdist,Tx7,0.95,2.255757340590132,0.46174,0.4388888888888889,0.4528301886792453,0.048,0.0867992766726944,24,371,29,476
stft,zdist,Tx8,0.95,2.255757340590132,0.491365,0.43666666666666665,0.43137254901960786,0.044,0.07985480943738656,22,371,29,478
stft,zdist,Tx5,0.97,2.7022992070449217,0.484115,0.4411111111111111,0.45454545454545453,0.03,0.056285178236397754,15,382,18,485
stft,zdist,Tx6,0.97,2.7022992070449217,0.4986,0.4411111111111111,0.45454545454545453,0.03,0.056285178236397754,15,382,18,485
stft,zdist,Tx7,0.97,2.7022992070449217,0.46174,0.4444444444444444,0.5,0.036,0.0671641791044776,18,382,18,482
stft,zdist,Tx8,0.97,2.7022992070449217,0.491365,0.43666666666666665,0.3793103448275862,0.022,0.04158790170132325,11,382,18,489
stft,pca_residual,Tx5,0.9,0.23828659563414584,0.49713,0.45222222222222225,0.5492957746478874,0.078,0.13660245183887917,39,368,32,461
stft,pca_residual,Tx6,0.9,0.23828659563414584,0.52246,0.45444444444444443,0.5616438356164384,0.082,0.14310645724258292,41,368,32,459
stft,pca_residual,Tx7,0.9,0.23828659563414584,0.506095,0.4488888888888889,0.5294117647058824,0.072,0.1267605633802817,36,368,32,464
stft,pca_residual,Tx8,0.9,0.23828659563414584,0.543835,0.44333333333333336,0.49206349206349204,0.062,0.11012433392539964,31,368,32,469
stft,pca_residual,Tx5,0.95,0.3115568331770439,0.49713,0.45,0.5714285714285714,0.04,0.07476635514018691,20,385,15,480
stft,pca_residual,Tx6,0.95,0.3115568331770439,0.52246,0.44666666666666666,0.53125,0.034,0.06390977443609024,17,385,15,483
stft,pca_residual,Tx7,0.95,0.3115568331770439,0.506095,0.4477777777777778,0.5454545454545454,0.036,0.06754221388367729,18,385,15,482
stft,pca_residual,Tx8,0.95,0.3115568331770439,0.543835,0.43555555555555553,0.3181818181818182,0.014,0.02681992337164751,7,385,15,493
stft,pca_residual,Tx5,0.97,0.3620357113382813,0.49713,0.45444444444444443,0.6956521739130435,0.032,0.061185468451242835,16,393,7,484
stft,pca_residual,Tx6,0.97,0.3620357113382813,0.52246,0.4488888888888889,0.6111111111111112,0.022,0.04247104247104247,11,393,7,489
stft,pca_residual,Tx7,0.97,0.3620357113382813,0.506095,0.44666666666666666,0.5625,0.018,0.03488372093023255,9,393,7,491
stft,pca_residual,Tx8,0.97,0.3620357113382813,0.543835,0.4388888888888889,0.2222222222222222,0.004,0.007858546168958742,2,393,7,498
stft,shrinkage_mahalanobis,Tx5,0.9,206.19293526384996,0.48903,0.45111111111111113,0.5333333333333333,0.096,0.16271186440677968,48,358,42,452
stft,shrinkage_mahalanobis,Tx6,0.9,206.19293526384996,0.50393,0.4577777777777778,0.5625,0.108,0.18120805369127516,54,358,42,446
stft,shrinkage_mahalanobis,Tx7,0.9,206.19293526384996,0.48735,0.44555555555555554,0.5058823529411764,0.086,0.147008547008547,43,358,42,457
stft,shrinkage_mahalanobis,Tx8,0.9,206.19293526384996,0.541255,0.46,0.5714285714285714,0.112,0.18729096989966557,56,358,42,444
stft,shrinkage_mahalanobis,Tx5,0.95,249.20659232688703,0.48903,0.45444444444444443,0.5818181818181818,0.064,0.11531531531531532,32,377,23,468
stft,shrinkage_mahalanobis,Tx6,0.95,249.20659232688703,0.50393,0.44555555555555554,0.5106382978723404,0.048,0.08775137111517367,24,377,23,476
stft,shrinkage_mahalanobis,Tx7,0.95,249.20659232688703,0.48735,0.4488888888888889,0.54,0.054,0.09818181818181818,27,377,23,473
stft,shrinkage_mahalanobis,Tx8,0.95,249.20659232688703,0.541255,0.45111111111111113,0.5576923076923077,0.058,0.10507246376811595,29,377,23,471
stft,shrinkage_mahalanobis,Tx5,0.97,275.08538075105446,0.48903,0.4622222222222222,0.7105263157894737,0.054,0.1003717472118959,27,389,11,473
stft,shrinkage_mahalanobis,Tx6,0.97,275.08538075105446,0.50393,0.45222222222222225,0.6206896551724138,0.036,0.06805293005671077,18,389,11,482
stft,shrinkage_mahalanobis,Tx7,0.97,275.08538075105446,0.48735,0.45555555555555555,0.65625,0.042,0.07894736842105263,21,389,11,479
stft,shrinkage_mahalanobis,Tx8,0.97,275.08538075105446,0.541255,0.46,0.6944444444444444,0.05,0.09328358208955224,25,389,11,475
cepstral,zdist,Tx5,0.9,1.932905529292956,0.523865,0.4488888888888889,0.5204081632653061,0.102,0.1705685618729097,51,353,47,449
cepstral,zdist,Tx6,0.9,1.932905529292956,0.533405,0.4577777777777778,0.5566037735849056,0.118,0.19471947194719472,59,353,47,441
cepstral,zdist,Tx7,0.9,1.932905529292956,0.48949,0.45666666666666667,0.5523809523809524,0.116,0.19173553719008266,58,353,47,442
cepstral,zdist,Tx8,0.9,1.932905529292956,0.52395,0.4122222222222222,0.27692307692307694,0.036,0.06371681415929203,18,353,47,482
cepstral,zdist,Tx5,0.95,3.082517390511777,0.523865,0.45,0.5409836065573771,0.066,0.11764705882352942,33,372,28,467
cepstral,zdist,Tx6,0.95,3.082517390511777,0.533405,0.4477777777777778,0.5254237288135594,0.062,0.11091234347048301,31,372,28,469
cepstral,zdist,Tx7,0.95,3.082517390511777,0.48949,0.45444444444444443,0.5692307692307692,0.074,0.13097345132743363,37,372,28,463
cepstral,zdist,Tx8,0.95,3.082517390511777,0.52395,0.41444444444444445,0.034482758620689655,0.002,0.003780718336483932,1,372,28,499
cepstral,zdist,Tx5,0.97,3.763604607025838,0.523865,0.4488888888888889,0.5476190476190477,0.046,0.08487084870848709,23,381,19,477
cepstral,zdist,Tx6,0.97,3.763604607025838,0.533405,0.45111111111111113,0.5681818181818182,0.05,0.09191176470588235,25,381,19,475
cepstral,zdist,Tx7,0.97,3.763604607025838,0.48949,0.45222222222222225,0.5777777777777777,0.052,0.09541284403669724,26,381,19,474
cepstral,zdist,Tx8,0.97,3.763604607025838,0.52395,0.42333333333333334,0.0,0.0,0.0,0,381,19,500
cepstral,pca_residual,Tx5,0.9,0.1910890010842814,0.44987,0.43666666666666665,0.46534653465346537,0.094,0.15640599001663893,47,346,54,453
cepstral,pca_residual,Tx6,0.9,0.1910890010842814,0.52369,0.45444444444444443,0.5384615384615384,0.126,0.20421393841166938,63,346,54,437
cepstral,pca_residual,Tx7,0.9,0.1910890010842814,0.46959,0.43666666666666665,0.46534653465346537,0.094,0.15640599001663893,47,346,54,453
cepstral,pca_residual,Tx8,0.9,0.1910890010842814,0.510365,0.44666666666666666,0.509090909090909,0.112,0.1836065573770492,56,346,54,444
cepstral,pca_residual,Tx5,0.95,0.24379822607275084,0.44987,0.4488888888888889,0.5344827586206896,0.062,0.1111111111111111,31,373,27,469
cepstral,pca_residual,Tx6,0.95,0.24379822607275084,0.52369,0.43777777777777777,0.4375,0.042,0.07664233576642338,21,373,27,479
cepstral,pca_residual,Tx7,0.95,0.24379822607275084,0.46959,0.43777777777777777,0.4375,0.042,0.07664233576642338,21,373,27,479
cepstral,pca_residual,Tx8,0.95,0.24379822607275084,0.510365,0.44,0.46,0.046,0.08363636363636365,23,373,27,477
cepstral,pca_residual,Tx5,0.97,0.27365585082985644,0.44987,0.44666666666666666,0.5217391304347826,0.048,0.08791208791208792,24,378,22,476
cepstral,pca_residual,Tx6,0.97,0.27365585082985644,0.52369,0.44,0.45,0.036,0.06666666666666667,18,378,22,482
cepstral,pca_residual,Tx7,0.97,0.27365585082985644,0.46959,0.43777777777777777,0.42105263157894735,0.032,0.05947955390334572,16,378,22,484
cepstral,pca_residual,Tx8,0.97,0.27365585082985644,0.510365,0.43333333333333335,0.35294117647058826,0.024,0.0449438202247191,12,378,22,488
cepstral,shrinkage_mahalanobis,Tx5,0.9,68.8987889141986,0.458565,0.43777777777777777,0.4727272727272727,0.104,0.17049180327868851,52,342,58,448
cepstral,shrinkage_mahalanobis,Tx6,0.9,68.8987889141986,0.516065,0.4477777777777778,0.5126050420168067,0.122,0.19709208400646203,61,342,58,439
