representation,method,tx,threshold_quantile,threshold,known_files,false_rejects,known_accepts,false_reject_rate,score_mean,score_p95
iq,shrinkage_mahalanobis,Tx4,0.95,90.204322073344,100,4,96,0.04,19.170356452248164,74.19524400376034
iq,shrinkage_mahalanobis,Tx1,0.97,112.2178996904962,100,3,97,0.03,25.22958260909762,78.81222236014337
iq,shrinkage_mahalanobis,Tx2,0.97,112.2178996904962,100,5,95,0.05,36.83781643590422,107.7270603313702
iq,shrinkage_mahalanobis,Tx3,0.97,112.2178996904962,100,3,97,0.03,25.3071277850083,81.34481457756367
iq,shrinkage_mahalanobis,Tx4,0.97,112.2178996904962,100,3,97,0.03,19.170356452248164,74.19524400376034
ap,zdist,Tx1,0.9,2.234322418741458,100,14,86,0.14,1.138293582958084,4.490381658866104
ap,zdist,Tx2,0.9,2.234322418741458,100,10,90,0.1,1.032332096105862,5.1291419656353545
ap,zdist,Tx3,0.9,2.234322418741458,100,20,80,0.2,1.3925622220105904,7.053837509551371
ap,zdist,Tx4,0.9,2.234322418741458,100,8,92,0.08,0.9628981618708689,2.796250391362144
ap,zdist,Tx1,0.95,3.9345970107753545,100,7,93,0.07,1.138293582958084,4.490381658866104
ap,zdist,Tx2,0.95,3.9345970107753545,100,6,94,0.06,1.032332096105862,5.1291419656353545
ap,zdist,Tx3,0.95,3.9345970107753545,100,12,88,0.12,1.3925622220105904,7.053837509551371
ap,zdist,Tx4,0.95,3.9345970107753545,100,4,96,0.04,0.9628981618708689,2.796250391362144
ap,zdist,Tx1,0.97,5.4922312857992015,100,4,96,0.04,1.138293582958084,4.490381658866104
ap,zdist,Tx2,0.97,5.4922312857992015,100,5,95,0.05,1.032332096105862,5.1291419656353545
ap,zdist,Tx3,0.97,5.4922312857992015,100,8,92,0.08,1.3925622220105904,7.053837509551371
ap,zdist,Tx4,0.97,5.4922312857992015,100,2,98,0.02,0.9628981618708689,2.796250391362144
ap,pca_residual,Tx1,0.9,0.03113001962609236,100,8,92,0.08,0.016597458273576504,0.04366695479276146
ap,pca_residual,Tx2,0.9,0.03113001962609236,100,9,91,0.09,0.014944334142728746,0.04295236707279163
ap,pca_residual,Tx3,0.9,0.03113001962609236,100,17,83,0.17,0.01941305612679687,0.05970134208945318
ap,pca_residual,Tx4,0.9,0.03113001962609236,100,7,93,0.07,0.014295534714271392,0.036063435556639684
ap,pca_residual,Tx1,0.95,0.04421463393260167,100,5,95,0.05,0.016597458273576504,0.04366695479276146
ap,pca_residual,Tx2,0.95,0.04421463393260167,100,5,95,0.05,0.014944334142728746,0.04295236707279163
ap,pca_residual,Tx3,0.95,0.04421463393260167,100,8,92,0.08,0.01941305612679687,0.05970134208945318
ap,pca_residual,Tx4,0.95,0.04421463393260167,100,3,97,0.03,0.014295534714271392,0.036063435556639684
