representation,method,tx,threshold_quantile,threshold,known_files,false_rejects,known_accepts,false_reject_rate,score_mean,score_p95
hos,shrinkage_mahalanobis,Tx2,0.95,105.51236947610079,100,10,90,0.1,148.1281713046059,316.4224595327411
hos,shrinkage_mahalanobis,Tx3,0.95,105.51236947610079,100,10,90,0.1,48.24827272144379,124.72707048041289
hos,shrinkage_mahalanobis,Tx4,0.95,105.51236947610079,100,6,94,0.06,42.72497140502506,109.92526710221573
hos,shrinkage_mahalanobis,Tx1,0.97,147.697641100332,100,4,96,0.04,49.95639244545166,116.35316959235878
hos,shrinkage_mahalanobis,Tx2,0.97,147.697641100332,100,8,92,0.08,148.1281713046059,316.4224595327411
hos,shrinkage_mahalanobis,Tx3,0.97,147.697641100332,100,3,97,0.03,48.24827272144379,124.72707048041289
hos,shrinkage_mahalanobis,Tx4,0.97,147.697641100332,100,4,96,0.04,42.72497140502506,109.92526710221573
bispectrum,zdist,Tx1,0.9,1.8687000169482286,100,10,90,0.1,0.9811586057983223,2.396026627143856
bispectrum,zdist,Tx2,0.9,1.8687000169482286,100,13,87,0.13,0.9025302642060211,2.3663908115454264
bispectrum,zdist,Tx3,0.9,1.8687000169482286,100,15,85,0.15,1.0848591689732388,2.9576054324501624
bispectrum,zdist,Tx4,0.9,1.8687000169482286,100,10,90,0.1,0.9677182446244116,2.661713983838131
bispectrum,zdist,Tx1,0.95,2.479539120120218,100,5,95,0.05,0.9811586057983223,2.396026627143856
bispectrum,zdist,Tx2,0.95,2.479539120120218,100,5,95,0.05,0.9025302642060211,2.3663908115454264
bispectrum,zdist,Tx3,0.95,2.479539120120218,100,11,89,0.11,1.0848591689732388,2.9576054324501624
bispectrum,zdist,Tx4,0.95,2.479539120120218,100,6,94,0.06,0.9677182446244116,2.661713983838131
bispectrum,zdist,Tx1,0.97,2.9288096341478314,100,4,96,0.04,0.9811586057983223,2.396026627143856
bispectrum,zdist,Tx2,0.97,2.9288096341478314,100,4,96,0.04,0.9025302642060211,2.3663908115454264
bispectrum,zdist,Tx3,0.97,2.9288096341478314,100,6,94,0.06,1.0848591689732388,2.9576054324501624
bispectrum,zdist,Tx4,0.97,2.9288096341478314,100,3,97,0.03,0.9677182446244116,2.661713983838131
bispectrum,pca_residual,Tx1,0.9,0.25684710812050676,100,10,90,0.1,0.19495597881445145,0.27777741088625507
bispectrum,pca_residual,Tx2,0.9,0.25684710812050676,100,10,90,0.1,0.1880185632353783,0.2850670279476298
bispectrum,pca_residual,Tx3,0.9,0.25684710812050676,100,14,86,0.14,0.20038199061481993,0.2990831767939583
bispectrum,pca_residual,Tx4,0.9,0.25684710812050676,100,10,90,0.1,0.1873572307015074,0.28090125784461534
bispectrum,pca_residual,Tx1,0.95,0.27957529271548703,100,5,95,0.05,0.19495597881445145,0.27777741088625507
bispectrum,pca_residual,Tx2,0.95,0.27957529271548703,100,6,94,0.06,0.1880185632353783,0.2850670279476298
bispectrum,pca_residual,Tx3,0.95,0.27957529271548703,100,12,88,0.12,0.20038199061481993,0.2990831767939583
bispectrum,pca_residual,Tx4,0.95,0.27957529271548703,100,6,94,0.06,0.1873572307015074,0.28090125784461534
bispectrum,pca_residual,Tx1,0.97,0.2986518549099864,100,4,96,0.04,0.19495597881445145,0.27777741088625507
bispectrum,pca_residual,Tx2,0.97,0.2986518549099864,100,3,97,0.03,0.1880185632353783,0.2850670279476298
bispectrum,pca_residual,Tx3,0.97,0.2986518549099864,100,5,95,0.05,0.20038199061481993,0.2990831767939583
bispectrum,pca_residual,Tx4,0.97,0.2986518549099864,100,3,97,0.03,0.1873572307015074,0.28090125784461534
bispectrum,shrinkage_mahalanobis,Tx1,0.9,148.93598401321242,100,21,79,0.21,119.45406015895131,175.9145114853455
bispectrum,shrinkage_mahalanobis,Tx2,0.9,148.93598401321242,100,13,87,0.13,111.98940367800867,167.78494881738382
bispectrum,shrinkage_mahalanobis,Tx3,0.9,148.93598401321242,100,23,77,0.23,124.56431653517139,191.6008080055908
bispectrum,shrinkage_mahalanobis,Tx4,0.9,148.93598401321242,100,15,85,0.15,114.23366425233613,176.74345327207203
bispectrum,shrinkage_mahalanobis,Tx1,0.95,165.1851294492482,100,8,92,0.08,119.45406015895131,175.9145114853455
bispectrum,shrinkage_mahalanobis,Tx2,0.95,165.1851294492482,100,7,93,0.07,111.98940367800867,167.78494881738382
bispectrum,shrinkage_mahalanobis,Tx3,0.95,165.1851294492482,100,13,87,0.13,124.56431653517139,191.6008080055908
bispectrum,shrinkage_mahalanobis,Tx4,0.95,165.1851294492482,100,10,90,0.1,114.23366425233613,176.74345327207203
bispectrum,shrinkage_mahalanobis,Tx1,0.97,174.37246045455208,100,6,94,0.06,119.45406015895131,175.9145114853455
bispectrum,shrinkage_mahalanobis,Tx2,0.97,174.37246045455208,100,5,95,0.05,111.98940367800867,167.78494881738382
bispectrum,shrinkage_mahalanobis,Tx3,0.97,174.37246045455208,100,13,87,0.13,124.56431653517139,191.6008080055908
bispectrum,shrinkage_mahalanobis,Tx4,0.97,174.37246045455208,100,6,94,0.06,114.23366425233613,176.74345327207203
