pair,method,tx,threshold_quantile,threshold,known_files,false_rejects,known_accepts,false_reject_rate,score_mean,score_p95
iq:cepstral,relation_shrinkage_mahalanobis,Tx3,0.9,66.89490761068028,100,15,85,0.15,37.32021842063145,114.6590849225605
iq:cepstral,relation_shrinkage_mahalanobis,Tx4,0.9,66.89490761068028,100,10,90,0.1,28.073535365079966,101.97965991412684
iq:cepstral,relation_shrinkage_mahalanobis,Tx1,0.95,108.9226418799576,100,3,97,0.03,33.147812176415506,91.51260385376278
iq:cepstral,relation_shrinkage_mahalanobis,Tx2,0.95,108.9226418799576,100,9,91,0.09,104.89560167406444,179.62108902431143
iq:cepstral,relation_shrinkage_mahalanobis,Tx3,0.95,108.9226418799576,100,7,93,0.07,37.32021842063145,114.6590849225605
iq:cepstral,relation_shrinkage_mahalanobis,Tx4,0.95,108.9226418799576,100,5,95,0.05,28.073535365079966,101.97965991412684
iq:cepstral,relation_shrinkage_mahalanobis,Tx1,0.97,145.92810414039465,100,2,98,0.02,33.147812176415506,91.51260385376278
iq:cepstral,relation_shrinkage_mahalanobis,Tx2,0.97,145.92810414039465,100,7,93,0.07,104.89560167406444,179.62108902431143
iq:cepstral,relation_shrinkage_mahalanobis,Tx3,0.97,145.92810414039465,100,4,96,0.04,37.32021842063145,114.6590849225605
iq:cepstral,relation_shrinkage_mahalanobis,Tx4,0.97,145.92810414039465,100,3,97,0.03,28.073535365079966,101.97965991412684
iq:cyclo,relation_zdist,Tx1,0.9,1.884456880611875,100,9,91,0.09,1.1587437692303768,5.030878778483774
iq:cyclo,relation_zdist,Tx2,0.9,1.884456880611875,100,12,88,0.12,1.9842095071500119,7.110493330804418
iq:cyclo,relation_zdist,Tx3,0.9,1.884456880611875,100,17,83,0.17,1.5553387583662663,3.416722781308647
iq:cyclo,relation_zdist,Tx4,0.9,1.884456880611875,100,10,90,0.1,0.754302900230727,2.4848033334307704
iq:cyclo,relation_zdist,Tx1,0.95,3.5616237402335047,100,7,93,0.07,1.1587437692303768,5.030878778483774
