fusion,component_count,tx,threshold_quantile,threshold,auc,accuracy,precision,recall,f1,tp,tn,fp,fn
high_cka_relation_pca_rank_mean,7,Tx8,0.9,0.7931428571428571,0.5075125,0.45666666666666667,0.544,0.136,0.21760000000000002,68,343,57,432
high_cka_relation_pca_rank_mean,7,Tx5,0.95,0.8525267857142855,0.4657275,0.4533333333333333,0.5645161290322581,0.07,0.12455516014234878,35,373,27,465
high_cka_relation_pca_rank_mean,7,Tx6,0.95,0.8525267857142855,0.484245,0.43666666666666665,0.425531914893617,0.04,0.07312614259597806,20,373,27,480
high_cka_relation_pca_rank_mean,7,Tx7,0.95,0.8525267857142855,0.475845,0.4533333333333333,0.5645161290322581,0.07,0.12455516014234878,35,373,27,465
high_cka_relation_pca_rank_mean,7,Tx8,0.95,0.8525267857142855,0.5075125,0.4633333333333333,0.6197183098591549,0.088,0.15411558669001751,44,373,27,456
high_cka_relation_pca_rank_mean,7,Tx5,0.97,0.8845017857142857,0.4657275,0.45222222222222225,0.5945945945945946,0.044,0.08193668528864058,22,385,15,478
high_cka_relation_pca_rank_mean,7,Tx6,0.97,0.8845017857142857,0.484245,0.4388888888888889,0.4,0.02,0.03809523809523809,10,385,15,490
high_cka_relation_pca_rank_mean,7,Tx7,0.97,0.8845017857142857,0.475845,0.45555555555555555,0.625,0.05,0.09259259259259259,25,385,15,475
high_cka_relation_pca_rank_mean,7,Tx8,0.97,0.8845017857142857,0.5075125,0.4666666666666667,0.7,0.07,0.1272727272727273,35,385,15,465
low_cka_relation_mahal_rank_mean,7,Tx5,0.9,0.8843035714285715,0.4745875,0.45111111111111113,0.5283018867924528,0.112,0.18481848184818483,56,350,50,444
low_cka_relation_mahal_rank_mean,7,Tx6,0.9,0.8843035714285715,0.4998175,0.4677777777777778,0.5867768595041323,0.142,0.22866344605475036,71,350,50,429
low_cka_relation_mahal_rank_mean,7,Tx7,0.9,0.8843035714285715,0.5019775,0.46,0.5614035087719298,0.128,0.20846905537459282,64,350,50,436
low_cka_relation_mahal_rank_mean,7,Tx8,0.9,0.8843035714285715,0.4844025,0.42333333333333334,0.38271604938271603,0.062,0.10671256454388985,31,350,50,469
low_cka_relation_mahal_rank_mean,7,Tx5,0.95,0.9260892857142857,0.4745875,0.4388888888888889,0.4489795918367347,0.044,0.08014571948998178,22,373,27,478
low_cka_relation_mahal_rank_mean,7,Tx6,0.95,0.9260892857142857,0.4998175,0.45111111111111113,0.55,0.066,0.11785714285714285,33,373,27,467
low_cka_relation_mahal_rank_mean,7,Tx7,0.95,0.9260892857142857,0.5019775,0.4533333333333333,0.5645161290322581,0.07,0.12455516014234878,35,373,27,465
low_cka_relation_mahal_rank_mean,7,Tx8,0.95,0.9260892857142857,0.4844025,0.42777777777777776,0.3076923076923077,0.024,0.04452690166975881,12,373,27,488
low_cka_relation_mahal_rank_mean,7,Tx5,0.97,0.9480410714285713,0.4745875,0.44666666666666666,0.5357142857142857,0.03,0.05681818181818181,15,387,13,485
low_cka_relation_mahal_rank_mean,7,Tx6,0.97,0.9480410714285713,0.4998175,0.45666666666666667,0.6486486486486487,0.048,0.08938547486033518,24,387,13,476
low_cka_relation_mahal_rank_mean,7,Tx7,0.97,0.9480410714285713,0.5019775,0.45222222222222225,0.6060606060606061,0.04,0.07504690431519699,20,387,13,480
low_cka_relation_mahal_rank_mean,7,Tx8,0.97,0.9480410714285713,0.4844025,0.43777777777777777,0.35,0.014,0.026923076923076925,7,387,13,493
