pair,method,tx,threshold_quantile,threshold,auc,accuracy,precision,recall,f1,tp,tn,fp,fn
iq:ap,relation_shrinkage_mahalanobis,Tx6,0.9,76.62523901877604,0.48468,0.2833333333333333,0.8301886792452831,0.176,0.29042904290429045,88,82,18,412
iq:ap,relation_shrinkage_mahalanobis,Tx7,0.9,76.62523901877604,0.50854,0.28833333333333333,0.8348623853211009,0.182,0.29885057471264365,91,82,18,409
iq:ap,relation_shrinkage_mahalanobis,Tx8,0.9,76.62523901877604,0.52534,0.26,0.8043478260869565,0.148,0.24999999999999997,74,82,18,426
iq:ap,relation_shrinkage_mahalanobis,Tx2,0.95,113.3672687716927,0.47672,0.2733333333333333,0.872093023255814,0.15,0.25597269624573377,75,89,11,425
iq:ap,relation_shrinkage_mahalanobis,Tx3,0.95,113.3672687716927,0.50006,0.2683333333333333,0.8674698795180723,0.144,0.24699828473413377,72,89,11,428
iq:ap,relation_shrinkage_mahalanobis,Tx4,0.95,113.3672687716927,0.50978,0.26666666666666666,0.8658536585365854,0.142,0.2439862542955326,71,89,11,429
iq:ap,relation_shrinkage_mahalanobis,Tx5,0.95,113.3672687716927,0.4734,0.25666666666666665,0.8552631578947368,0.13,0.22569444444444445,65,89,11,435
iq:ap,relation_shrinkage_mahalanobis,Tx6,0.95,113.3672687716927,0.48468,0.2733333333333333,0.872093023255814,0.15,0.25597269624573377,75,89,11,425
iq:ap,relation_shrinkage_mahalanobis,Tx7,0.95,113.3672687716927,0.50854,0.2783333333333333,0.8764044943820225,0.156,0.26485568760611206,78,89,11,422
iq:ap,relation_shrinkage_mahalanobis,Tx8,0.95,113.3672687716927,0.52534,0.22333333333333333,0.8035714285714286,0.09,0.16187050359712232,45,89,11,455
iq:ap,relation_shrinkage_mahalanobis,Tx2,0.97,159.59290683908955,0.47672,0.24166666666666667,0.835820895522388,0.112,0.19753086419753085,56,89,11,444
iq:ap,relation_shrinkage_mahalanobis,Tx3,0.97,159.59290683908955,0.50006,0.245,0.8405797101449275,0.116,0.2038664323374341,58,89,11,442
iq:ap,relation_shrinkage_mahalanobis,Tx4,0.97,159.59290683908955,0.50978,0.245,0.8405797101449275,0.116,0.2038664323374341,58,89,11,442
iq:ap,relation_shrinkage_mahalanobis,Tx5,0.97,159.59290683908955,0.4734,0.245,0.8405797101449275,0.116,0.2038664323374341,58,89,11,442
iq:ap,relation_shrinkage_mahalanobis,Tx6,0.97,159.59290683908955,0.48468,0.24333333333333335,0.8382352941176471,0.114,0.2007042253521127,57,89,11,443
iq:ap,relation_shrinkage_mahalanobis,Tx7,0.97,159.59290683908955,0.50854,0.25833333333333336,0.8571428571428571,0.132,0.22876949740034663,66,89,11,434
iq:ap,relation_shrinkage_mahalanobis,Tx8,0.97,159.59290683908955,0.52534,0.19833333333333333,0.7317073170731707,0.06,0.11090573012939,30,89,11,470
iq:fft,relation_zdist,Tx2,0.9,2.1202654970240014,0.49438,0.275,0.8350515463917526,0.162,0.27135678391959794,81,84,16,419
iq:fft,relation_zdist,Tx3,0.9,2.1202654970240014,0.51174,0.2966666666666667,0.8545454545454545,0.188,0.3081967213114754,94,84,16,406
iq:fft,relation_zdist,Tx4,0.9,2.1202654970240014,0.52978,0.29833333333333334,0.8558558558558559,0.19,0.3109656301145663,95,84,16,405
iq:fft,relation_zdist,Tx5,0.9,2.1202654970240014,0.48736,0.2783333333333333,0.8383838383838383,0.166,0.27712854757929883,83,84,16,417
iq:fft,relation_zdist,Tx6,0.9,2.1202654970240014,0.5088,0.28833333333333333,0.8476190476190476,0.178,0.29421487603305785,89,84,16,411
iq:fft,relation_zdist,Tx7,0.9,2.1202654970240014,0.51176,0.29833333333333334,0.8558558558558559,0.19,0.3109656301145663,95,84,16,405
iq:fft,relation_zdist,Tx8,0.9,2.1202654970240014,0.51078,0.25,0.8048780487804879,0.132,0.2268041237113402,66,84,16,434
iq:fft,relation_zdist,Tx2,0.95,4.116130996344741,0.49438,0.25833333333333336,0.8873239436619719,0.126,0.22066549912434327,63,92,8,437
iq:fft,relation_zdist,Tx3,0.95,4.116130996344741,0.51174,0.27666666666666667,0.9024390243902439,0.148,0.2542955326460481,74,92,8,426
iq:fft,relation_zdist,Tx4,0.95,4.116130996344741,0.52978,0.24666666666666667,0.875,0.112,0.19858156028368795,56,92,8,444
iq:fft,relation_zdist,Tx5,0.95,4.116130996344741,0.48736,0.25333333333333335,0.8823529411764706,0.12,0.21126760563380279,60,92,8,440
iq:fft,relation_zdist,Tx6,0.95,4.116130996344741,0.5088,0.26,0.8888888888888888,0.128,0.22377622377622375,64,92,8,436
iq:fft,relation_zdist,Tx7,0.95,4.116130996344741,0.51176,0.2683333333333333,0.8961038961038961,0.138,0.23916811091854423,69,92,8,431
iq:fft,relation_zdist,Tx8,0.95,4.116130996344741,0.51078,0.225,0.8431372549019608,0.086,0.1560798548094374,43,92,8,457
iq:fft,relation_zdist,Tx2,0.97,6.801508390694461,0.49438,0.23666666666666666,0.8888888888888888,0.096,0.1732851985559567,48,94,6,452
iq:fft,relation_zdist,Tx3,0.97,6.801508390694461,0.51174,0.23333333333333334,0.8846153846153846,0.092,0.16666666666666666,46,94,6,454
iq:fft,relation_zdist,Tx4,0.97,6.801508390694461,0.52978,0.21333333333333335,0.85,0.068,0.12592592592592594,34,94,6,466
iq:fft,relation_zdist,Tx5,0.97,6.801508390694461,0.48736,0.23,0.88,0.088,0.16,44,94,6,456
iq:fft,relation_zdist,Tx6,0.97,6.801508390694461,0.5088,0.23333333333333334,0.8846153846153846,0.092,0.16666666666666666,46,94,6,454
iq:fft,relation_zdist,Tx7,0.97,6.801508390694461,0.51176,0.23,0.88,0.088,0.16,44,94,6,456
iq:fft,relation_zdist,Tx8,0.97,6.801508390694461,0.51078,0.19833333333333333,0.8064516129032258,0.05,0.09416195856873823,25,94,6,475
iq:fft,relation_pca_residual,Tx2,0.9,0.37484862524459533,0.50388,0.2816666666666667,0.7948717948717948,0.186,0.3014586709886548,93,76,24,407
iq:fft,relation_pca_residual,Tx3,0.9,0.37484862524459533,0.5108,0.30666666666666664,0.8181818181818182,0.216,0.34177215189873417,108,76,24,392
iq:fft,relation_pca_residual,Tx4,0.9,0.37484862524459533,0.51848,0.30833333333333335,0.8195488721804511,0.218,0.344391785150079,109,76,24,391
iq:fft,relation_pca_residual,Tx5,0.9,0.37484862524459533,0.48298,0.2816666666666667,0.7948717948717948,0.186,0.3014586709886548,93,76,24,407
iq:fft,relation_pca_residual,Tx6,0.9,0.37484862524459533,0.51416,0.2916666666666667,0.8048780487804879,0.198,0.317817014446228,99,76,24,401
iq:fft,relation_pca_residual,Tx7,0.9,0.37484862524459533,0.5045,0.295,0.808,0.202,0.32320000000000004,101,76,24,399
iq:fft,relation_pca_residual,Tx8,0.9,0.37484862524459533,0.52812,0.27666666666666667,0.7894736842105263,0.18,0.2931596091205212,90,76,24,410
iq:fft,relation_pca_residual,Tx2,0.95,0.5633826118868043,0.50388,0.27666666666666667,0.84375,0.162,0.2718120805369128,81,85,15,419
iq:fft,relation_pca_residual,Tx3,0.95,0.5633826118868043,0.5108,0.29,0.8557692307692307,0.178,0.29470198675496684,89,85,15,411
iq:fft,relation_pca_residual,Tx4,0.95,0.5633826118868043,0.51848,0.29,0.8557692307692307,0.178,0.29470198675496684,89,85,15,411
iq:fft,relation_pca_residual,Tx5,0.95,0.5633826118868043,0.48298,0.27,0.8369565217391305,0.154,0.2601351351351351,77,85,15,423
iq:fft,relation_pca_residual,Tx6,0.95,0.5633826118868043,0.51416,0.275,0.8421052631578947,0.16,0.26890756302521013,80,85,15,420
iq:fft,relation_pca_residual,Tx7,0.95,0.5633826118868043,0.5045,0.29333333333333333,0.8584905660377359,0.182,0.3003300330033003,91,85,15,409
iq:fft,relation_pca_residual,Tx8,0.95,0.5633826118868043,0.52812,0.25833333333333336,0.8235294117647058,0.14,0.23931623931623933,70,85,15,430
iq:fft,relation_pca_residual,Tx2,0.97,0.7121067379446442,0.50388,0.265,0.8641975308641975,0.14,0.24096385542168675,70,89,11,430
iq:fft,relation_pca_residual,Tx3,0.97,0.7121067379446442,0.5108,0.2783333333333333,0.8764044943820225,0.156,0.26485568760611206,78,89,11,422
iq:fft,relation_pca_residual,Tx4,0.97,0.7121067379446442,0.51848,0.275,0.8735632183908046,0.152,0.2589437819420784,76,89,11,424
iq:fft,relation_pca_residual,Tx5,0.97,0.7121067379446442,0.48298,0.26666666666666666,0.8658536585365854,0.142,0.2439862542955326,71,89,11,429
iq:fft,relation_pca_residual,Tx6,0.97,0.7121067379446442,0.51416,0.265,0.8641975308641975,0.14,0.24096385542168675,70,89,11,430
iq:fft,relation_pca_residual,Tx7,0.97,0.7121067379446442,0.5045,0.2816666666666667,0.8791208791208791,0.16,0.2707275803722504,80,89,11,420
iq:fft,relation_pca_residual,Tx8,0.97,0.7121067379446442,0.52812,0.24333333333333335,0.8382352941176471,0.114,0.2007042253521127,57,89,11,443
iq:fft,relation_shrinkage_mahalanobis,Tx2,0.9,65.60273677564437,0.49982,0.285,0.8198198198198198,0.182,0.2978723404255319,91,80,20,409
iq:fft,relation_shrinkage_mahalanobis,Tx3,0.9,65.60273677564437,0.52018,0.30333333333333334,0.8360655737704918,0.204,0.3279742765273312,102,80,20,398
iq:fft,relation_shrinkage_mahalanobis,Tx4,0.9,65.60273677564437,0.53906,0.30833333333333335,0.84,0.21,0.3359999999999999,105,80,20,395
iq:fft,relation_shrinkage_mahalanobis,Tx5,0.9,65.60273677564437,0.49318,0.28,0.8148148148148148,0.176,0.2894736842105263,88,80,20,412
iq:fft,relation_shrinkage_mahalanobis,Tx6,0.9,65.60273677564437,0.5193,0.3,0.8333333333333334,0.2,0.3225806451612903,100,80,20,400
iq:fft,relation_shrinkage_mahalanobis,Tx7,0.9,65.60273677564437,0.52242,0.3016666666666667,0.8347107438016529,0.202,0.3252818035426731,101,80,20,399
iq:fft,relation_shrinkage_mahalanobis,Tx8,0.9,65.60273677564437,0.53096,0.26666666666666666,0.8,0.16,0.26666666666666666,80,80,20,420
iq:fft,relation_shrinkage_mahalanobis,Tx2,0.95,120.50920538783889,0.49982,0.27166666666666667,0.8987341772151899,0.142,0.24525043177892913,71,92,8,429
iq:fft,relation_shrinkage_mahalanobis,Tx3,0.95,120.50920538783889,0.52018,0.2866666666666667,0.9090909090909091,0.16,0.27210884353741494,80,92,8,420
iq:fft,relation_shrinkage_mahalanobis,Tx4,0.95,120.50920538783889,0.53906,0.2783333333333333,0.9036144578313253,0.15,0.25728987993138935,75,92,8,425
iq:fft,relation_shrinkage_mahalanobis,Tx5,0.95,120.50920538783889,0.49318,0.26666666666666666,0.8947368421052632,0.136,0.23611111111111113,68,92,8,432
iq:fft,relation_shrinkage_mahalanobis,Tx6,0.95,120.50920538783889,0.5193,0.26166666666666666,0.8904109589041096,0.13,0.22687609075043635,65,92,8,435
iq:fft,relation_shrinkage_mahalanobis,Tx7,0.95,120.50920538783889,0.52242,0.2816666666666667,0.9058823529411765,0.154,0.26324786324786326,77,92,8,423
iq:fft,relation_shrinkage_mahalanobis,Tx8,0.95,120.50920538783889,0.53096,0.23833333333333334,0.864406779661017,0.102,0.18246869409660105,51,92,8,449
iq:fft,relation_shrinkage_mahalanobis,Tx2,0.97,173.33074307822324,0.49982,0.25,0.890625,0.114,0.20212765957446807,57,93,7,443
iq:fft,relation_shrinkage_mahalanobis,Tx3,0.97,173.33074307822324,0.52018,0.265,0.9041095890410958,0.132,0.23036649214659685,66,93,7,434
iq:fft,relation_shrinkage_mahalanobis,Tx4,0.97,173.33074307822324,0.53906,0.23666666666666666,0.875,0.098,0.1762589928057554,49,93,7,451
iq:fft,relation_shrinkage_mahalanobis,Tx5,0.97,173.33074307822324,0.49318,0.24833333333333332,0.8888888888888888,0.112,0.19893428063943158,56,93,7,444
iq:fft,relation_shrinkage_mahalanobis,Tx6,0.97,173.33074307822324,0.5193,0.25,0.890625,0.114,0.20212765957446807,57,93,7,443
iq:fft,relation_shrinkage_mahalanobis,Tx7,0.97,173.33074307822324,0.52242,0.25666666666666665,0.8970588235294118,0.122,0.2147887323943662,61,93,7,439
