fusion,component_count,tx,threshold_quantile,threshold,auc,accuracy,precision,recall,f1,tp,tn,fp,fn
low_cka_relation_pca_rank_mean,7,Tx4,0.95,0.8921071428571427,0.47999,0.265,0.8241758241758241,0.15,0.25380710659898476,75,84,16,425
low_cka_relation_pca_rank_mean,7,Tx5,0.95,0.8921071428571427,0.42829,0.25333333333333335,0.8095238095238095,0.136,0.23287671232876714,68,84,16,432
low_cka_relation_pca_rank_mean,7,Tx6,0.95,0.8921071428571427,0.51859,0.285,0.8446601941747572,0.174,0.2885572139303482,87,84,16,413
low_cka_relation_pca_rank_mean,7,Tx7,0.95,0.8921071428571427,0.51401,0.28,0.84,0.168,0.27999999999999997,84,84,16,416
low_cka_relation_pca_rank_mean,7,Tx8,0.95,0.8921071428571427,0.47318,0.22833333333333333,0.7681159420289855,0.106,0.18629173989455186,53,84,16,447
low_cka_relation_pca_rank_mean,7,Tx2,0.97,0.9082678571428572,0.48221,0.26666666666666666,0.8488372093023255,0.146,0.24914675767918087,73,87,13,427
low_cka_relation_pca_rank_mean,7,Tx3,0.97,0.9082678571428572,0.50067,0.28,0.8617021276595744,0.162,0.27272727272727276,81,87,13,419
low_cka_relation_pca_rank_mean,7,Tx4,0.97,0.9082678571428572,0.47999,0.255,0.8354430379746836,0.132,0.22797927461139897,66,87,13,434
low_cka_relation_pca_rank_mean,7,Tx5,0.97,0.9082678571428572,0.42829,0.25166666666666665,0.8311688311688312,0.128,0.2218370883882149,64,87,13,436
low_cka_relation_pca_rank_mean,7,Tx6,0.97,0.9082678571428572,0.51859,0.275,0.8571428571428571,0.156,0.2639593908629441,78,87,13,422
low_cka_relation_pca_rank_mean,7,Tx7,0.97,0.9082678571428572,0.51401,0.275,0.8571428571428571,0.156,0.2639593908629441,78,87,13,422
low_cka_relation_pca_rank_mean,7,Tx8,0.97,0.9082678571428572,0.47318,0.21833333333333332,0.7719298245614035,0.088,0.15798922800718135,44,87,13,456
high_cka_relation_pca_rank_mean,7,Tx2,0.9,0.7914642857142861,0.50514,0.31833333333333336,0.8699186991869918,0.214,0.3434991974317817,107,84,16,393
high_cka_relation_pca_rank_mean,7,Tx3,0.9,0.7914642857142861,0.56593,0.3433333333333333,0.8840579710144928,0.244,0.38244514106583066,122,84,16,378
high_cka_relation_pca_rank_mean,7,Tx4,0.9,0.7914642857142861,0.57465,0.35,0.8873239436619719,0.252,0.39252336448598135,126,84,16,374
high_cka_relation_pca_rank_mean,7,Tx5,0.9,0.7914642857142861,0.53103,0.32166666666666666,0.872,0.218,0.34879999999999994,109,84,16,391
high_cka_relation_pca_rank_mean,7,Tx6,0.9,0.7914642857142861,0.53434,0.345,0.8848920863309353,0.246,0.38497652582159625,123,84,16,377
high_cka_relation_pca_rank_mean,7,Tx7,0.9,0.7914642857142861,0.54221,0.335,0.8796992481203008,0.234,0.3696682464454977,117,84,16,383
high_cka_relation_pca_rank_mean,7,Tx8,0.9,0.7914642857142861,0.54361,0.3333333333333333,0.8787878787878788,0.232,0.36708860759493667,116,84,16,384
high_cka_relation_pca_rank_mean,7,Tx2,0.95,0.852875,0.50514,0.27666666666666667,0.8666666666666667,0.156,0.264406779661017,78,88,12,422
high_cka_relation_pca_rank_mean,7,Tx3,0.95,0.852875,0.56593,0.2966666666666667,0.8823529411764706,0.18,0.29900332225913623,90,88,12,410
high_cka_relation_pca_rank_mean,7,Tx4,0.95,0.852875,0.57465,0.275,0.8651685393258427,0.154,0.2614601018675721,77,88,12,423
high_cka_relation_pca_rank_mean,7,Tx5,0.95,0.852875,0.53103,0.29,0.8775510204081632,0.172,0.28762541806020064,86,88,12,414
high_cka_relation_pca_rank_mean,7,Tx6,0.95,0.852875,0.53434,0.295,0.8811881188118812,0.178,0.29617304492512475,89,88,12,411
high_cka_relation_pca_rank_mean,7,Tx7,0.95,0.852875,0.54221,0.2916666666666667,0.8787878787878788,0.174,0.2904841402337229,87,88,12,413
high_cka_relation_pca_rank_mean,7,Tx8,0.95,0.852875,0.54361,0.25833333333333336,0.8481012658227848,0.134,0.23143350604490504,67,88,12,433
high_cka_relation_pca_rank_mean,7,Tx2,0.97,0.8914392857142858,0.50514,0.25333333333333335,0.8939393939393939,0.118,0.20848056537102472,59,93,7,441
high_cka_relation_pca_rank_mean,7,Tx3,0.97,0.8914392857142858,0.56593,0.2733333333333333,0.9102564102564102,0.142,0.24567474048442903,71,93,7,429
high_cka_relation_pca_rank_mean,7,Tx4,0.97,0.8914392857142858,0.57465,0.25166666666666665,0.8923076923076924,0.116,0.20530973451327433,58,93,7,442
high_cka_relation_pca_rank_mean,7,Tx5,0.97,0.8914392857142858,0.53103,0.265,0.9041095890410958,0.132,0.23036649214659685,66,93,7,434
high_cka_relation_pca_rank_mean,7,Tx6,0.97,0.8914392857142858,0.53434,0.26666666666666666,0.9054054054054054,0.134,0.2334494773519164,67,93,7,433
high_cka_relation_pca_rank_mean,7,Tx7,0.97,0.8914392857142858,0.54221,0.25666666666666665,0.8970588235294118,0.122,0.2147887323943662,61,93,7,439
