pair,method,threshold_quantile,threshold,auc,accuracy,precision,recall,f1,tp,tn,fp,fn
iq:hos,relation_shrinkage_mahalanobis,0.9,67.17072361618676,0.5056485714285714,0.18055555555555555,0.9741379310344828,0.16142857142857142,0.2769607843137255,565,85,15,2935
iq:hos,relation_shrinkage_mahalanobis,0.95,102.17699682381406,0.5056485714285714,0.1461111111111111,0.9712389380530974,0.12542857142857142,0.222165991902834,439,87,13,3061
iq:hos,relation_shrinkage_mahalanobis,0.97,176.7347686514548,0.5056485714285714,0.10166666666666667,0.9716312056737588,0.07828571428571429,0.14489687995769435,274,92,8,3226
iq:bispectrum,relation_zdist,0.9,2.178578124494024,0.50012,0.17694444444444443,0.9752212389380531,0.15742857142857142,0.27109471094710946,551,86,14,2949
iq:bispectrum,relation_zdist,0.95,3.180723628567587,0.50012,0.13277777777777777,0.9821428571428571,0.11,0.19784172661870503,385,93,7,3115
iq:bispectrum,relation_zdist,0.97,4.39234466640433,0.50012,0.09972222222222223,0.9850187265917603,0.07514285714285714,0.13963366073798775,263,96,4,3237
iq:bispectrum,relation_pca_residual,0.9,0.4710847113462169,0.5038742857142857,0.2175,0.9736477115117892,0.20057142857142857,0.3326226012793177,702,81,19,2798
iq:bispectrum,relation_pca_residual,0.95,0.6180485766756559,0.5038742857142857,0.17,0.9723247232472325,0.15057142857142858,0.2607619990103909,527,85,15,2973
iq:bispectrum,relation_pca_residual,0.97,0.7414062558156816,0.5038742857142857,0.14722222222222223,0.9694323144104804,0.12685714285714286,0.224355735219808,444,86,14,3056
iq:bispectrum,relation_shrinkage_mahalanobis,0.9,62.95348948921342,0.5041428571428571,0.20055555555555554,0.9726443768996961,0.18285714285714286,0.3078403078403078,640,82,18,2860
iq:bispectrum,relation_shrinkage_mahalanobis,0.95,95.36985163947169,0.5041428571428571,0.14694444444444443,0.9735099337748344,0.126,0.22312167973690866,441,88,12,3059
iq:bispectrum,relation_shrinkage_mahalanobis,0.97,116.06736581801137,0.5041428571428571,0.1225,0.9802816901408451,0.09942857142857142,0.18054474708171203,348,93,7,3152
ap:fft,relation_zdist,0.9,2.3965731894537416,0.5411942857142857,0.17972222222222223,0.9723661485319517,0.16085714285714287,0.2760480509928904,563,84,16,2937
