representation,method,threshold_quantile,threshold,auc,accuracy,precision,recall,f1,tp,tn,fp,fn
stft,shrinkage_mahalanobis,0.97,214.0240720725628,0.5178171428571429,0.2563888888888889,0.9790454016298021,0.2402857142857143,0.38586831842165636,841,82,18,2659
cepstral,zdist,0.9,1.987391352869716,0.5229228571428571,0.1461111111111111,0.9691629955947136,0.12571428571428572,0.22255943348507842,440,86,14,3060
cepstral,zdist,0.95,3.0905001233763336,0.5229228571428571,0.10138888888888889,0.9715302491103203,0.078,0.14440624173499075,273,92,8,3227
cepstral,zdist,0.97,3.74694726767721,0.5229228571428571,0.08555555555555555,0.985981308411215,0.06028571428571428,0.11362412493268713,211,97,3,3289
cepstral,pca_residual,0.9,0.20056301095761062,0.5543457142857143,0.22444444444444445,0.9745308310991957,0.2077142857142857,0.3424399434762129,727,81,19,2773
cepstral,pca_residual,0.95,0.23576138111912145,0.5543457142857143,0.16583333333333333,0.9751434034416826,0.1457142857142857,0.2535421327367636,510,87,13,2990
cepstral,pca_residual,0.97,0.24884499448802155,0.5543457142857143,0.1525,0.9807280513918629,0.13085714285714287,0.23090496596924626,458,91,9,3042
cepstral,shrinkage_mahalanobis,0.9,65.84139203328213,0.5687171428571428,0.25194444444444447,0.9786476868327402,0.2357142857142857,0.3799217131015427,825,82,18,2675
cepstral,shrinkage_mahalanobis,0.95,79.51846222989924,0.5687171428571428,0.1825,0.9777015437392796,0.16285714285714287,0.2792064658339456,570,87,13,2930
cepstral,shrinkage_mahalanobis,0.97,83.2153631647323,0.5687171428571428,0.16666666666666666,0.9770992366412213,0.1462857142857143,0.25447316103379725,512,88,12,2988
cyclo,zdist,0.9,2.740198256962832,0.48633714285714286,0.14972222222222223,0.9640591966173362,0.13028571428571428,0.2295494588472187,456,83,17,3044
cyclo,zdist,0.95,4.01118638992748,0.48633714285714286,0.12305555555555556,0.9673024523160763,0.10142857142857142,0.18360486164985776,355,88,12,3145
cyclo,zdist,0.97,5.196578163434507,0.48633714285714286,0.10222222222222223,0.9785714285714285,0.07828571428571429,0.14497354497354498,274,94,6,3226
cyclo,pca_residual,0.9,0.11921099738403299,0.5802114285714286,0.24305555555555555,0.9837702871410736,0.22514285714285714,0.36642641246221813,788,87,13,2712
cyclo,pca_residual,0.95,0.16587423148795444,0.5802114285714286,0.16583333333333333,0.9806576402321083,0.14485714285714285,0.2524271844660194,507,90,10,2993
cyclo,pca_residual,0.97,0.19800279160495482,0.5802114285714286,0.13972222222222222,0.9809069212410502,0.11742857142857142,0.20974738453687164,411,92,8,3089
cyclo,shrinkage_mahalanobis,0.9,63.26253505032218,0.5236485714285715,0.23055555555555557,0.9777486910994765,0.21342857142857144,0.350375234521576,747,83,17,2753
cyclo,shrinkage_mahalanobis,0.95,87.39347646358122,0.5236485714285715,0.175,0.980072463768116,0.15457142857142858,0.26702862783810466,541,89,11,2959
cyclo,shrinkage_mahalanobis,0.97,102.7212564919039,0.5236485714285715,0.15833333333333333,0.9815573770491803,0.13685714285714284,0.24022066198595785,479,91,9,3021
hos,zdist,0.9,1.6387548443483007,0.49510571428571426,0.14666666666666667,0.9652173913043478,0.12685714285714286,0.22424242424242427,444,84,16,3056
hos,zdist,0.95,2.7362641946568775,0.49510571428571426,0.10361111111111111,0.9595959595959596,0.08142857142857143,0.15011851461680276,285,88,12,3215
hos,zdist,0.97,3.671048561265576,0.49510571428571426,0.08555555555555555,0.9601769911504425,0.062,0.11647879763821792,217,91,9,3283
hos,pca_residual,0.9,0.10680907221337277,0.5157742857142857,0.1686111111111111,0.9668508287292817,0.15,0.25970813752164235,525,82,18,2975
hos,pca_residual,0.95,0.17846074079411806,0.5157742857142857,0.1063888888888889,0.9796610169491525,0.08257142857142857,0.1523056653491436,289,94,6,3211
hos,pca_residual,0.97,0.22272752966016474,0.5157742857142857,0.08972222222222222,0.9744680851063829,0.06542857142857143,0.12262382864792506,229,94,6,3271
hos,shrinkage_mahalanobis,0.9,75.3951126421919,0.5329857142857143,0.17972222222222223,0.9675213675213675,0.16171428571428573,0.2771113831089351,566,81,19,2934
