representation,method,tx,threshold_quantile,threshold,auc,accuracy,precision,recall,f1,tp,tn,fp,fn
iq,pca_residual,Tx2,0.95,0.06292530691260388,0.47356,0.2633333333333333,0.8020833333333334,0.154,0.25838926174496646,77,81,19,423
iq,pca_residual,Tx3,0.95,0.06292530691260388,0.49652,0.285,0.8256880733944955,0.18,0.29556650246305416,90,81,19,410
iq,pca_residual,Tx4,0.95,0.06292530691260388,0.48992,0.255,0.7912087912087912,0.144,0.24365482233502536,72,81,19,428
iq,pca_residual,Tx5,0.95,0.06292530691260388,0.46946,0.25666666666666665,0.7934782608695652,0.146,0.2466216216216216,73,81,19,427
iq,pca_residual,Tx6,0.95,0.06292530691260388,0.4924,0.275,0.8155339805825242,0.168,0.27860696517412936,84,81,19,416
iq,pca_residual,Tx7,0.95,0.06292530691260388,0.49094,0.265,0.8041237113402062,0.156,0.26130653266331655,78,81,19,422
iq,pca_residual,Tx8,0.95,0.06292530691260388,0.52104,0.26666666666666666,0.8061224489795918,0.158,0.26421404682274247,79,81,19,421
iq,pca_residual,Tx2,0.97,0.08635738021334186,0.47356,0.25333333333333335,0.825,0.132,0.22758620689655173,66,86,14,434
iq,pca_residual,Tx3,0.97,0.08635738021334186,0.49652,0.2733333333333333,0.8478260869565217,0.156,0.2635135135135135,78,86,14,422
iq,pca_residual,Tx4,0.97,0.08635738021334186,0.48992,0.24,0.8055555555555556,0.116,0.2027972027972028,58,86,14,442
iq,pca_residual,Tx5,0.97,0.08635738021334186,0.46946,0.24333333333333335,0.8108108108108109,0.12,0.20905923344947736,60,86,14,440
iq,pca_residual,Tx6,0.97,0.08635738021334186,0.4924,0.25,0.8205128205128205,0.128,0.22145328719723184,64,86,14,436
iq,pca_residual,Tx7,0.97,0.08635738021334186,0.49094,0.25166666666666665,0.8227848101265823,0.13,0.22452504317789293,65,86,14,435
iq,pca_residual,Tx8,0.97,0.08635738021334186,0.52104,0.22333333333333333,0.7741935483870968,0.096,0.1708185053380783,48,86,14,452
iq,shrinkage_mahalanobis,Tx2,0.9,57.99324124123005,0.46406,0.28,0.8148148148148148,0.176,0.2894736842105263,88,80,20,412
iq,shrinkage_mahalanobis,Tx3,0.9,57.99324124123005,0.47878,0.29833333333333334,0.8319327731092437,0.198,0.3198707592891761,99,80,20,401
iq,shrinkage_mahalanobis,Tx4,0.9,57.99324124123005,0.47204,0.29,0.8245614035087719,0.188,0.30618892508143325,94,80,20,406
iq,shrinkage_mahalanobis,Tx5,0.9,57.99324124123005,0.4505,0.27166666666666667,0.8058252427184466,0.166,0.275290215588723,83,80,20,417
iq,shrinkage_mahalanobis,Tx6,0.9,57.99324124123005,0.48228,0.2916666666666667,0.8260869565217391,0.19,0.3089430894308943,95,80,20,405
iq,shrinkage_mahalanobis,Tx7,0.9,57.99324124123005,0.48254,0.29,0.8245614035087719,0.188,0.30618892508143325,94,80,20,406
iq,shrinkage_mahalanobis,Tx8,0.9,57.99324124123005,0.5032,0.25333333333333335,0.782608695652174,0.144,0.24324324324324323,72,80,20,428
iq,shrinkage_mahalanobis,Tx2,0.95,84.3628626820307,0.46406,0.2733333333333333,0.8902439024390244,0.146,0.2508591065292096,73,91,9,427
iq,shrinkage_mahalanobis,Tx3,0.95,84.3628626820307,0.47878,0.285,0.898876404494382,0.16,0.2716468590831919,80,91,9,420
iq,shrinkage_mahalanobis,Tx4,0.95,84.3628626820307,0.47204,0.25833333333333336,0.8767123287671232,0.128,0.22338568935427572,64,91,9,436
iq,shrinkage_mahalanobis,Tx5,0.95,84.3628626820307,0.4505,0.265,0.8831168831168831,0.136,0.23570190641247835,68,91,9,432
iq,shrinkage_mahalanobis,Tx6,0.95,84.3628626820307,0.48228,0.2866666666666667,0.9,0.162,0.2745762711864407,81,91,9,419
iq,shrinkage_mahalanobis,Tx7,0.95,84.3628626820307,0.48254,0.275,0.891566265060241,0.148,0.2538593481989708,74,91,9,426
iq,shrinkage_mahalanobis,Tx8,0.95,84.3628626820307,0.5032,0.22666666666666666,0.8333333333333334,0.09,0.1624548736462094,45,91,9,455
iq,shrinkage_mahalanobis,Tx2,0.97,112.64356702398175,0.46406,0.26,0.9117647058823529,0.124,0.2183098591549296,62,94,6,438
iq,shrinkage_mahalanobis,Tx3,0.97,112.64356702398175,0.47878,0.25,0.9032258064516129,0.112,0.199288256227758,56,94,6,444
iq,shrinkage_mahalanobis,Tx4,0.97,112.64356702398175,0.47204,0.23166666666666666,0.8823529411764706,0.09,0.16333938294010888,45,94,6,455
iq,shrinkage_mahalanobis,Tx5,0.97,112.64356702398175,0.4505,0.24333333333333335,0.896551724137931,0.104,0.18637992831541214,52,94,6,448
iq,shrinkage_mahalanobis,Tx6,0.97,112.64356702398175,0.48228,0.25333333333333335,0.90625,0.116,0.20567375886524822,58,94,6,442
iq,shrinkage_mahalanobis,Tx7,0.97,112.64356702398175,0.48254,0.24666666666666667,0.9,0.108,0.19285714285714284,54,94,6,446
iq,shrinkage_mahalanobis,Tx8,0.97,112.64356702398175,0.5032,0.205,0.8285714285714286,0.058,0.10841121495327102,29,94,6,471
ap,zdist,Tx2,0.9,2.5002230381320514,0.49656,0.23833333333333334,0.7866666666666666,0.118,0.20521739130434782,59,84,16,441
ap,zdist,Tx3,0.9,2.5002230381320514,0.4825,0.24,0.7894736842105263,0.12,0.20833333333333334,60,84,16,440
ap,zdist,Tx4,0.9,2.5002230381320514,0.51584,0.245,0.7974683544303798,0.126,0.21761658031088082,63,84,16,437
ap,zdist,Tx5,0.9,2.5002230381320514,0.48868,0.21833333333333332,0.746031746031746,0.094,0.16696269982238013,47,84,16,453
ap,zdist,Tx6,0.9,2.5002230381320514,0.48576,0.25,0.8048780487804879,0.132,0.2268041237113402,66,84,16,434
ap,zdist,Tx7,0.9,2.5002230381320514,0.48936,0.23833333333333334,0.7866666666666666,0.118,0.20521739130434782,59,84,16,441
ap,zdist,Tx8,0.9,2.5002230381320514,0.51176,0.23333333333333334,0.7777777777777778,0.112,0.1958041958041958,56,84,16,444
ap,zdist,Tx2,0.95,3.9959959074112428,0.49656,0.215,0.7959183673469388,0.078,0.14207650273224043,39,90,10,461
ap,zdist,Tx3,0.95,3.9959959074112428,0.4825,0.21166666666666667,0.7872340425531915,0.074,0.13528336380255943,37,90,10,463
ap,zdist,Tx4,0.95,3.9959959074112428,0.51584,0.21166666666666667,0.7872340425531915,0.074,0.13528336380255943,37,90,10,463
ap,zdist,Tx5,0.95,3.9959959074112428,0.48868,0.19666666666666666,0.7368421052631579,0.056,0.10408921933085502,28,90,10,472
ap,zdist,Tx6,0.95,3.9959959074112428,0.48576,0.22,0.8076923076923077,0.084,0.15217391304347827,42,90,10,458
ap,zdist,Tx7,0.95,3.9959959074112428,0.48936,0.215,0.7959183673469388,0.078,0.14207650273224043,39,90,10,461
ap,zdist,Tx8,0.95,3.9959959074112428,0.51176,0.205,0.7674418604651163,0.066,0.12154696132596685,33,90,10,467
ap,zdist,Tx2,0.97,6.050432484891079,0.49656,0.20166666666666666,0.8620689655172413,0.05,0.0945179584120983,25,96,4,475
ap,zdist,Tx3,0.97,6.050432484891079,0.4825,0.20833333333333334,0.8787878787878788,0.058,0.10881801125703565,29,96,4,471
ap,zdist,Tx4,0.97,6.050432484891079,0.51584,0.19833333333333333,0.8518518518518519,0.046,0.0872865275142315,23,96,4,477
ap,zdist,Tx5,0.97,6.050432484891079,0.48868,0.19166666666666668,0.8260869565217391,0.038,0.07265774378585087,19,96,4,481
ap,zdist,Tx6,0.97,6.050432484891079,0.48576,0.20166666666666666,0.8620689655172413,0.05,0.0945179584120983,25,96,4,475
ap,zdist,Tx7,0.97,6.050432484891079,0.48936,0.19833333333333333,0.8518518518518519,0.046,0.0872865275142315,23,96,4,477
ap,zdist,Tx8,0.97,6.050432484891079,0.51176,0.18666666666666668,0.8,0.032,0.061538461538461535,16,96,4,484
ap,pca_residual,Tx2,0.9,0.029092866965176573,0.51708,0.29333333333333333,0.8584905660377359,0.182,0.3003300330033003,91,85,15,409
ap,pca_residual,Tx3,0.9,0.029092866965176573,0.5581,0.31833333333333336,0.8760330578512396,0.212,0.3413848631239936,106,85,15,394
ap,pca_residual,Tx4,0.9,0.029092866965176573,0.5445,0.34,0.8880597014925373,0.238,0.3753943217665615,119,85,15,381
