fusion,tx,threshold_quantile,threshold,auc,accuracy,precision,recall,f1,tp,tn,fp,fn
rank_max,Tx5,0.97,0.9924812030075187,0.60689,0.2966666666666667,0.9333333333333333,0.168,0.28474576271186447,84,94,6,416
rank_max,Tx6,0.97,0.9924812030075187,0.59792,0.29,0.9302325581395349,0.16,0.27303754266211605,80,94,6,420
rank_max,Tx7,0.97,0.9924812030075187,0.62655,0.29333333333333333,0.9318181818181818,0.164,0.27891156462585037,82,94,6,418
rank_max,Tx8,0.97,0.9924812030075187,0.58175,0.225,0.8723404255319149,0.082,0.14990859232175505,41,94,6,459
rank_top2_mean,Tx2,0.9,0.931578947368421,0.574,0.31166666666666665,0.8717948717948718,0.204,0.33063209076175043,102,85,15,398
rank_top2_mean,Tx3,0.9,0.931578947368421,0.62022,0.33,0.8828125,0.226,0.3598726114649682,113,85,15,387
rank_top2_mean,Tx4,0.9,0.931578947368421,0.58534,0.29833333333333334,0.8623853211009175,0.188,0.30870279146141216,94,85,15,406
rank_top2_mean,Tx5,0.9,0.931578947368421,0.61691,0.31666666666666665,0.875,0.21,0.33870967741935487,105,85,15,395
rank_top2_mean,Tx6,0.9,0.931578947368421,0.60093,0.33166666666666667,0.8837209302325582,0.228,0.3624801271860095,114,85,15,386
rank_top2_mean,Tx7,0.9,0.931578947368421,0.63014,0.3433333333333333,0.8897058823529411,0.242,0.380503144654088,121,85,15,379
rank_top2_mean,Tx8,0.9,0.931578947368421,0.58398,0.2866666666666667,0.8529411764705882,0.174,0.2890365448504983,87,85,15,413
rank_top2_mean,Tx2,0.95,0.9637844611528821,0.574,0.28833333333333333,0.9195402298850575,0.16,0.27257240204429306,80,93,7,420
rank_top2_mean,Tx3,0.95,0.9637844611528821,0.62022,0.31833333333333336,0.9333333333333333,0.196,0.3239669421487604,98,93,7,402
rank_top2_mean,Tx4,0.95,0.9637844611528821,0.58534,0.265,0.9041095890410958,0.132,0.23036649214659685,66,93,7,434
rank_top2_mean,Tx5,0.95,0.9637844611528821,0.61691,0.29833333333333334,0.9247311827956989,0.172,0.29005059021922425,86,93,7,414
rank_top2_mean,Tx6,0.95,0.9637844611528821,0.60093,0.3016666666666667,0.9263157894736842,0.176,0.2957983193277311,88,93,7,412
rank_top2_mean,Tx7,0.95,0.9637844611528821,0.63014,0.31,0.93,0.186,0.30999999999999994,93,93,7,407
rank_top2_mean,Tx8,0.95,0.9637844611528821,0.58398,0.24833333333333332,0.8888888888888888,0.112,0.19893428063943158,56,93,7,444
rank_top2_mean,Tx2,0.97,0.9786967418546366,0.574,0.275,0.9577464788732394,0.136,0.2381786339754816,68,97,3,432
rank_top2_mean,Tx3,0.97,0.9786967418546366,0.62022,0.2966666666666667,0.9642857142857143,0.162,0.2773972602739726,81,97,3,419
rank_top2_mean,Tx4,0.97,0.9786967418546366,0.58534,0.23333333333333334,0.9347826086956522,0.086,0.1575091575091575,43,97,3,457
rank_top2_mean,Tx5,0.97,0.9786967418546366,0.61691,0.29,0.9625,0.154,0.2655172413793103,77,97,3,423
rank_top2_mean,Tx6,0.97,0.9786967418546366,0.60093,0.2833333333333333,0.9605263157894737,0.146,0.25347222222222227,73,97,3,427
rank_top2_mean,Tx7,0.97,0.9786967418546366,0.63014,0.2916666666666667,0.9629629629629629,0.156,0.26850258175559377,78,97,3,422
rank_top2_mean,Tx8,0.97,0.9786967418546366,0.58398,0.22,0.9210526315789473,0.07,0.13011152416356878,35,97,3,465
rank_cyclo_weighted,Tx2,0.9,0.8196491228070175,0.56688,0.30333333333333334,0.8867924528301887,0.188,0.31023102310231027,94,88,12,406
rank_cyclo_weighted,Tx3,0.9,0.8196491228070175,0.62114,0.32,0.896551724137931,0.208,0.33766233766233766,104,88,12,396
rank_cyclo_weighted,Tx4,0.9,0.8196491228070175,0.57496,0.2833333333333333,0.8723404255319149,0.164,0.2760942760942761,82,88,12,418
rank_cyclo_weighted,Tx5,0.9,0.8196491228070175,0.60924,0.305,0.8878504672897196,0.19,0.31301482701812194,95,88,12,405
rank_cyclo_weighted,Tx6,0.9,0.8196491228070175,0.59241,0.33166666666666667,0.9024390243902439,0.222,0.35634028892455855,111,88,12,389
rank_cyclo_weighted,Tx7,0.9,0.8196491228070175,0.6124,0.32666666666666666,0.9,0.216,0.3483870967741935,108,88,12,392
rank_cyclo_weighted,Tx8,0.9,0.8196491228070175,0.57977,0.29,0.8775510204081632,0.172,0.28762541806020064,86,88,12,414
rank_cyclo_weighted,Tx2,0.95,0.8926817042606515,0.56688,0.295,0.9529411764705882,0.162,0.27692307692307694,81,96,4,419
rank_cyclo_weighted,Tx3,0.95,0.8926817042606515,0.62114,0.3016666666666667,0.9550561797752809,0.17,0.28862478777589134,85,96,4,415
rank_cyclo_weighted,Tx4,0.95,0.8926817042606515,0.57496,0.24833333333333332,0.9298245614035088,0.106,0.19030520646319568,53,96,4,447
rank_cyclo_weighted,Tx5,0.95,0.8926817042606515,0.60924,0.29333333333333333,0.9523809523809523,0.16,0.273972602739726,80,96,4,420
rank_cyclo_weighted,Tx6,0.95,0.8926817042606515,0.59241,0.30333333333333334,0.9555555555555556,0.172,0.29152542372881357,86,96,4,414
rank_cyclo_weighted,Tx7,0.95,0.8926817042606515,0.6124,0.3,0.9545454545454546,0.168,0.28571428571428575,84,96,4,416
rank_cyclo_weighted,Tx8,0.95,0.8926817042606515,0.57977,0.26166666666666666,0.9384615384615385,0.122,0.21592920353982298,61,96,4,439
rank_cyclo_weighted,Tx2,0.97,0.9144060150375941,0.56688,0.2816666666666667,0.948051948051948,0.146,0.25303292894280766,73,96,4,427
rank_cyclo_weighted,Tx3,0.97,0.9144060150375941,0.62114,0.29,0.9512195121951219,0.156,0.26804123711340205,78,96,4,422
rank_cyclo_weighted,Tx4,0.97,0.9144060150375941,0.57496,0.24,0.9230769230769231,0.096,0.17391304347826086,48,96,4,452
rank_cyclo_weighted,Tx5,0.97,0.9144060150375941,0.60924,0.285,0.9493670886075949,0.15,0.25906735751295334,75,96,4,425
rank_cyclo_weighted,Tx6,0.97,0.9144060150375941,0.59241,0.28833333333333333,0.9506172839506173,0.154,0.26506024096385544,77,96,4,423
rank_cyclo_weighted,Tx7,0.97,0.9144060150375941,0.6124,0.29,0.9512195121951219,0.156,0.26804123711340205,78,96,4,422
rank_cyclo_weighted,Tx8,0.97,0.9144060150375941,0.57977,0.24333333333333335,0.9259259259259259,0.1,0.18050541516245489,50,96,4,450
